"Action","Input","Expected result","Group"
"<p>Go to above mentioned link</p>","","<ul><li>Should be able to visit the website of HamroBazar</li></ul>","Default group"
"<p>Verify the available buttons in the header section</p>","","<ul><li>Should have login and register button on the header</li></ul>","Default group"
"<p>Click on button &quotSign Up&quot</p>","","<ul><li>Should redirect the user to registration page</li></ul>","Default group"
"<p>Verify the component in the registration page</p>","<p>is already directed to &quotsign up&quot page.</p>","<p>Should have:</p><ul><li>Title: &quotSign Up&quot</li><li>Text field: Full Name</li><li>Phone Number :-</li><li class=&quotql-indent-1&quot>Dropdown : Nepal and Dubai</li><li class=&quotql-indent-1&quot>Text field: Phone Number</li><li>Password :-</li><li class=&quotql-indent-1&quot>Text Field : Password</li><li class=&quotql-indent-1&quot>Icon: Password View Icon</li><li>Checkbox with &quotI hereby accept all the &quotTerms and Conditions&quot of HamroBazar.</li></ul>","Registration form"
"<p>Verify the full name input field</p>","<p>Full Name: Ram Kumar</p>","<ul><li>Should be a required field</li><li>Should have both first name and last name</li><li>Should accept alphabets as input only</li><li>Should warn if requirements aren't meet </li></ul>","Registration form"
"<p>Verify the Phone number field</p>","<p>Phone Number: 9808676859</p>","<ul><li>Should be a required field</li><li>Should have country selection option</li><li>Should accept numbers only</li><li>Phone number must be 10 digits</li><li>Should warn if requirements aren't meet</li></ul>","Registration form"
"<p>Verify Password field</p>","<p>Password: Test@123</p>","<ul><li>Should be a required field</li><li>Password must be at least 6 characters</li><li>Must have a see/hide password toggle</li><li>Password should have at least one capital alphabet and one special character</li><li>Should warn if requirements aren't fulfilled</li></ul>","Registration form"
"<p>Verify the Checkbox</p>","<p><br></p>","<ul><li>Should be unchecked by default</li><li>Should contain direct link of Terms &amp; Conditions</li><li>Terms &amp; Condition should be highlighted</li></ul><p><br></p>","Registration form"
"<p>Verify the Sign Up button</p>","","<ul><li>Should be enabled after Terms &amp; Conditions is checked</li><li>Should redirect to Verify Phone Number Page if provided information are valid</li><li>Should warn if provided information are invalid or requirements aren't fulfilled.</li></ul>","Registration form"
"<p>Verify Phone Number Page</p>","<p><br></p>","<ul><li>Should declare Please enter OTP code sent to entered phone number</li><li>Should have 6 input fields for OTP</li><li>Should have estimated OTP countdown timer</li><li>Should have resend link </li></ul>","Registration form"
"<p>OTP field</p>","<p>OTP: 123456</p>","<ul><li>Should accept 6 digits numbers only</li><li>Your OTP must have arrived should be after countdown is finished</li><li>Resend link should reload the page with new OTP</li><li>Successful OPT verification should redirect to homepage/dashboard</li></ul>","Registration form"
